algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.0970,9464,8
QuickSort,random,1000,0.1592,16423,6
QuickSelect,random,1000,0.0238,3773,1
MergeSort,sorted,1000,0.0277,4236,8
QuickSort,sorted,1000,0.1027,16735,6
QuickSelect,sorted,1000,0.0165,5607,1
MergeSort,duplicates,1000,0.0617,9107,8
QuickSort,duplicates,1000,0.2358,5391,2
QuickSelect,duplicates,1000,0.0459,3020,1
MergeSort,random,10000,1.3529,127072,11
QuickSort,random,10000,3.4619,237584,8
QuickSelect,random,10000,0.7523,48778,1
MergeSort,sorted,10000,0.3755,59248,11
QuickSort,sorted,10000,0.8258,222161,8
QuickSelect,sorted,10000,0.4665,43517,1
MergeSort,duplicates,10000,0.8686,121398,11
QuickSort,duplicates,10000,0.2878,59786,2
QuickSelect,duplicates,10000,0.2050,35770,1
MergeSort,random,100000,15.0991,1638744,14
QuickSort,random,100000,16.7307,2996111,11
QuickSelect,random,100000,1.7818,525214,1
MergeSort,sorted,100000,3.0005,744016,14
QuickSort,sorted,100000,8.7086,3080060,10
QuickSelect,sorted,100000,0.6249,377794,1
MergeSort,duplicates,100000,7.0889,1561499,14
QuickSort,duplicates,100000,2.5211,600954,2
QuickSelect,duplicates,100000,1.6626,369976,1
MergeSort,random,1000000,184.8602,19889790,18
QuickSort,random,1000000,213.5591,37715787,13
QuickSelect,random,1000000,22.0673,4262345,1
MergeSort,sorted,1000000,33.7082,9071040,18
QuickSort,sorted,1000000,231.2929,38160667,13
QuickSelect,sorted,1000000,11.3012,4969669,1
MergeSort,duplicates,1000000,121.9062,18922893,18
QuickSort,duplicates,1000000,60.4013,5598740,2
QuickSelect,duplicates,1000000,44.5070,3603080,1
